Name,Start,Duration,TID,Category
MegaBlock padded and reorder tokens,47.3787s,245.321 μs,457618,
MegaBlock generate topo,47.3789s,591.596 μs,457618,
MegaBlock mlp forward,47.3795s,543.737 μs,457618,
MegaBlock reorder and remove padding,47.38s,153.347 μs,457618,
MegaSparse generate indices,47.3802s,518.811 μs,457618,
MegaSparse generate topo,47.3808s,727.573 μs,457618,
MegaSparse mlp forward,47.3815s,230.694 μs,457618,
MoE route,47.3817s,272.114 μs,457618,
MegaBlock generate indices,47.382s,450.274 μs,457618,
MegaBlock padded and reorder tokens,47.3825s,225.433 μs,457618,
MegaBlock generate topo,47.3827s,589.554 μs,457618,
MegaBlock mlp forward,47.3833s,553.089 μs,457618,
MegaBlock reorder and remove padding,47.3838s,153.284 μs,457618,
MegaSparse generate indices,47.384s,511.384 μs,457618,
MegaSparse generate topo,47.3846s,718.111 μs,457618,
MegaSparse mlp forward,47.3853s,260.977 μs,457618,
MoE route,47.3856s,252.128 μs,457618,
MegaBlock generate indices,47.3858s,452.841 μs,457618,
MegaBlock padded and reorder tokens,47.3863s,225.883 μs,457618,
MegaBlock generate topo,47.3865s,593.956 μs,457618,
MegaBlock mlp forward,47.3871s,546.398 μs,457618,
MegaBlock reorder and remove padding,47.3876s,152.743 μs,457618,
MegaSparse generate indices,47.3878s,487.701 μs,457618,
MegaSparse generate topo,47.3883s,772.868 μs,457618,
MegaSparse mlp forward,47.3891s,241.433 μs,457618,
MoE route,47.3894s,266.754 μs,457618,
MegaBlock generate indices,47.3896s,451.633 μs,457618,
MegaBlock padded and reorder tokens,47.3901s,217.203 μs,457618,
MegaBlock generate topo,47.3903s,593.902 μs,457618,
MegaBlock mlp forward,47.3909s,546.000 μs,457618,
MegaBlock reorder and remove padding,47.3915s,167.776 μs,457618,
MegaSparse generate indices,47.3917s,455.585 μs,457618,
MegaSparse generate topo,47.3921s,796.750 μs,457618,
MegaSparse mlp forward,47.3929s,226.833 μs,457618,
MoE route,47.3932s,266.158 μs,457618,
MegaBlock generate indices,47.3934s,449.289 μs,457618,
MegaBlock padded and reorder tokens,47.3939s,229.794 μs,457618,
MegaBlock generate topo,47.3941s,581.286 μs,457618,
MegaBlock mlp forward,47.3947s,536.020 μs,457618,
