Name,Duration
MegaBlock mlp forward,563.842 μs
MegaBlock reorder and remove padding,156.278 μs
MegaSparse generate indices,470.656 μs
MegaSparse generate topo,743.532 μs
MoE route,259.188 μs
MegaBlock generate indices,416.926 μs
MegaBlock padded and reorder tokens,224.884 μs
MegaBlock generate topo,564.958 μs
MegaBlock mlp forward,566.103 μs
MegaBlock reorder and remove padding,173.877 μs
MegaSparse generate indices,479.033 μs
MegaSparse generate topo,724.207 μs
MoE route,279.314 μs
MegaBlock generate indices,433.514 μs
MegaBlock padded and reorder tokens,209.186 μs
MegaBlock generate topo,556.514 μs
MegaBlock mlp forward,533.743 μs
MegaBlock reorder and remove padding,152.112 μs
MegaSparse generate indices,511.409 μs
MegaSparse generate topo,761.966 μs
MoE route,269.137 μs
MegaBlock generate indices,422.226 μs
MegaBlock padded and reorder tokens,213.255 μs
MegaBlock generate topo,563.470 μs
MegaBlock mlp forward,552.099 μs
MegaBlock reorder and remove padding,148.767 μs
MegaSparse generate indices,454.410 μs
MegaSparse generate topo,792.195 μs
MoE route,264.732 μs
MegaBlock generate indices,445.566 μs
MegaBlock padded and reorder tokens,208.110 μs
MegaBlock generate topo,559.340 μs
MegaBlock mlp forward,539.118 μs
MegaBlock reorder and remove padding,158.496 μs
MegaSparse generate indices,433.836 μs
MegaSparse generate topo,844.203 μs
MoE route,261.936 μs
MegaBlock generate indices,456.589 μs
MegaBlock padded and reorder tokens,223.613 μs
MegaBlock generate topo,564.891 μs
MegaBlock mlp forward,533.804 μs
MegaBlock reorder and remove padding,154.691 μs
MegaSparse generate indices,451.522 μs
MegaSparse generate topo,791.672 μs
