Name,Start,Duration,TID,GPU,Context
MegaBlock generate topo [525.677 μs],47.4208s,525.677 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.495 ms],47.4217s,1.495 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.151 μs],47.4232s,16.151 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [49.190 μs],47.4232s,49.190 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [160.524 μs],47.4232s,160.524 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [489.568 μs],47.4235s,489.568 μs,457618,GPU 0,Stream 7
MoE route [31.535 μs],47.424s,31.535 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [287.690 μs],47.4241s,287.690 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [161.963 μs],47.4244s,161.963 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [489.056 μs],47.4246s,489.056 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.491 ms],47.4254s,1.491 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.471 μs],47.4269s,16.471 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [49.382 μs],47.4269s,49.382 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [169.096 μs],47.427s,169.096 μs,457618,GPU 0,Stream 7
MegaSparse mlp forward [479.685 μs],47.4273s,479.685 μs,457618,GPU 0,Stream 7
MoE route [31.472 μs],47.4278s,31.472 μs,457618,GPU 0,Stream 7
MegaBlock generate indices [308.319 μs],47.4278s,308.319 μs,457618,GPU 0,Stream 7
MegaBlock padded and reorder tokens [171.494 μs],47.4282s,171.494 μs,457618,GPU 0,Stream 7
MegaBlock generate topo [491.583 μs],47.4284s,491.583 μs,457618,GPU 0,Stream 7
MegaBlock mlp forward [1.484 ms],47.4292s,1.484 ms,457618,GPU 0,Stream 7
MegaBlock reorder and remove padding [16.408 μs],47.4306s,16.408 μs,457618,GPU 0,Stream 7
MegaSparse generate indices [44.617 μs],47.4307s,44.617 μs,457618,GPU 0,Stream 7
MegaSparse generate topo [177.731 μs],47.4307s,177.731 μs,457618,GPU 0,Stream 7
